dataset,acceptance_rate,rep,parameter,method,estimate,batch_se,selected_controls,condition_number
eurusd,0.3135,7,omega_3,ZV-OLS-2,0.5014261902411148,0.0147953885349145,9,160.02499835130354
eurusd,0.3135,7,omega_3,ZV-OLS-5,0.5423424276466506,0.0006734227473387,55,16107432.404221646
eurusd,0.3135,7,omega_3,ZV-Lasso-5,0.4988907866103001,0.0008515907232187,40,688782.6569769951
eurusd,0.333,8,omega_1,MC,0.066250116170887,0.0068619688720113,0,
eurusd,0.333,8,omega_1,ZV-OLS-1,0.0699125516530799,0.0058555552010898,3,9.060716495917749
eurusd,0.333,8,omega_1,ZV-OLS-2,0.0740307147921833,0.0030998522433086,9,140.72390191538923
eurusd,0.333,8,omega_1,ZV-OLS-5,0.0692605820041913,0.0001108025896282,55,25588461.56537862
eurusd,0.333,8,omega_1,ZV-Lasso-5,0.0695207474092265,0.0001252959679295,41,324228.4600447724
eurusd,0.333,8,omega_2,MC,0.0977974725413148,0.005662378803463,0,
eurusd,0.333,8,omega_2,ZV-OLS-1,0.0882744161320157,0.0033856021804497,3,9.060716495917749
eurusd,0.333,8,omega_2,ZV-OLS-2,0.0900150158415529,0.0006111267113824,9,140.72390191538923
eurusd,0.333,8,omega_2,ZV-OLS-5,0.092016333930365,5.940753159760158e-05,55,25588461.56537862
